259;250240010;STRZYŻÓW;Bug (266)
260;251140060;SOBOLICE;Nysa Łużycka (174)
261;251150280;TWARDOCICE;Gajowa (138664)
262;251150290;SULIKÓW;Czerwona Woda (1744)
263;251150320;BIERNA;Czerwona Woda (1744)
264;251150360;ŚWIERZAWA;Kaczawa (138)
265;251160110;OSETNO;Barycz (14)
266;251160150;POLKOWICE DOLNE;Mokrzyca (16418)
267;251160170;CHWAŁKOWICE;Rudawka (145444)
268;251160220;OBORNIKI ŚLĄSKIE;Odra (1)
269;251160290;JAWOR;Nysa Szalona (1384)
270;251170030;WITASZYCE;Lutynia (1852)
271;251170140;MILICZ;Barycz (14)
272;251170210;TRZEBNICA;Polska Woda (142)
273;251170270;BIERUTÓW;Widawa (136)
274;251170290;NAMYSŁÓW;Widawa (136)
275;251180020;ZBIERSK;Czarna Struga (183566)
276;251180040;PODDĘBICE;Ner (1832)
277;251180050;LISKÓW;Swędrnia (18482)
278;251180140;ZŁOCZEW;Oleśnica (1818)
279;251180190;SIEMIANICE;Prosna (184)
280;251190140;PLUCICE;Luciąża (25452)
281;251190160;PRZEDBÓRZ;Pilica (254)
282;251200030;SKIERNIEWICE;Bzura (272)
283;251200080;BIAŁOBRZEGI;Pilica (254)
284;251200130;OPOCZNO;Drzewiczka (2548)
285;251200140;RUSZKOWICE;Radomka (252)
286;251180090;SIERADZ;Warta (18)
287;249210160;ORZECHÓWKA;Wisłok (226)
288;249210170;BARTNE;Ropa (2182)
289;249210180;KREMPNA;Wisłoka (218)
290;249210210;PUŁAWY DOLNE;Wisłok (226)
291;249210220;WYSZOWADKA;Wisłoka (218)
292;249210230;WYSOWA;Ropa (2182)
293;249210240;BARWINEK;Jasiołka (2184)
294;249210250;JAŚLISKA;Jasiołka (2184)
295;249210260;TYLICZ;Poprad (2142)
296;249210270;WISŁOK WIELKI;Wisłok (226)
297;249220010;KAŃCZUGA;Mleczka (2268)
298;249220040;DYNÓW;San (22)
299;249220060;BIRCZA;San (22)
300;249220070;RYBOTYCZE;Wiar (224)
301;249220080;SANOK-TREPCZA;San (22)
302;249220110;NOWOTANIEC;Pielnica (22618)
303;249220120;LESZCZOWATE;San (22)
304;249220150;SOLINA-JAWOR;San (22)
305;249220170;BALIGRÓD-MCHAWA;Hoczewka (2218)
306;249220210;TERKA;Solinka (2212)
307;249220220;POLANA;Czarna (22132)
308;249220230;LUTOWISKA;San (22)
309;249220260;DWERNIK;San (22)
310;249220270;KALNICA;Wetlina (22126)
311;249220280;STUPOSIANY;Wołosaty (22114)
312;249220290;ROZTOKI GÓRNE;San (22)
313;249220310;WETLINA;San (22)
314;249220320;POŁONINA WETLIŃSKA;San (22)
315;249220330;TARNAWA NIŻNA;San (22)
316;249220340;WOŁOSATE;San (22)
317;249220350;WYŻNIAŃSKI WIERCH;San (22)
318;250140030;BOGATYNIA;Miedzianka (17416)
319;250150030;POBIEDNA;Łużyca (166324)
320;250150110;KACZORÓW;Kaczawa (138)
321;250150130;CIECHANOWICE;Bóbr (16)
322;254160110;MIASTKO;Wieprza (46)
323;254170130;NIEZABYSZEWO;Słupia (472)
324;254170140;KOŚCIERZYNA;Wierzyca (298)
325;254180010;ROZEWIE;Bałtyk (0)
326;254180050;WEJHEROWO;Reda (478)
327;254180060;GDYNIA;Bałtyk (0)
328;254180140;OSTRZYCE-BRODNICA GÓRNA;Radunia (4868)
329;254190050;FROMBORK;Zalew Wiślany (5119)
330;254190070;TOLKMICKO;Zalew Wiślany (5119)
331;254190080;PIERZCHAŁY;Pasłęka (56)
332;254190160;PASŁĘK;Wąska (5456)
333;254200040;BARTOSZYCE;Łyna (584)
334;254200050;BORNITY;Wałsza (568)
335;254200070;KASZUNY;Drwęca Warmińska (566)
336;254210020;WĘGORZEWO;Węgorapa (582)
337;250150210;PRZESIEKA;Podgórna (16288)
338;250160520;LĄDEK-ZDRÓJ;Biała Lądecka (1216)
339;251200240;STANOWISKA;Czarna (Maleniecka) (2544)
340;252230060;NAREWKA;Narewka (2612)
341;249200380;SZAFLARY;Biały Dunajec (21412)
342;249210140;DUKLA;Jasiołka (2184)
343;249220190;SAKOWCZYK;San (22)
344;350160520;KŁODZKO;Nysa Kłodzka (12)
345;253220120;OSOWIEC;Biebrza (262)
346;353140200;ŚWINOUJŚCIE;Bałtyk (0)
347;250210260;SĘDZISZÓW MAŁOPOLSKI;Brzeźnica (2188)
348;251180240;JASTRZYGOWICE;Prosna (184)
